Name,Price,Old Price,Discount
"Молоко Правильное Молоко пастеризованное 3.2-4%, 2л",174.99,219.99,20.0
"Молоко Авида питьевое ультрапастеризованное 3.2%, 970мл",74.99,99.99,25.0
"Молоко Простоквашино пастеризованное 2.5%, 930мл",69.99,81.99,15.0
"Молоко Асеньевская Ферма пастеризованное 3.4-6%, 900мл",79.99,109.99,27.0
"Молоко Зелёная Линия питьевое цельное отборное пастеризованное 3.4-6% ПЭТ, 900мл",73.99,,
"Молоко Parmalat безлактозное ультрапастеризованное 1.8%, 1л",134.99,,
"Молоко Село Зелёное пастеризованное 3.2%, 1.947л",169.99,209.99,19.0
"Молоко Parmalat Natura Premium питьевое ультрапастеризованное 3.5%, 1л",114.99,,
"Молоко Зелёная Линия питьевое пастеризованное 2.5% ПЭТ, 900мл",67.99,,
"Молоко Простоквашино отборное пастеризованное 3.4-4.5%, 930мл",99.9,,
"Молоко Зелёная Линия пастеризованное 3.2%, 900мл",69.99,,
"Молоко Простоквашино безлактозное ультрапастеризованное 1.5%, 970мл",129.99,,
"Молоко Простоквашино топлёное 3.2%, 930г",109.99,,
"Молоко Эконива ультрапастеризованное 3.2%, 1л",104.99,,
"Молоко Parmalat Natura Premium ультрапастеризованное 1.8%, 1л",104.99,,
"Молоко Асеньевская Ферма пастеризованное 2.5%, 900мл",119.99,,
"Молоко Parmalat Natura Premium питьевое ультрапастеризованное 3.5%, 200мл",35.99,41.99,14.0
"Молоко Сарафаново цельное отборное детское пастеризованное 3.4-4%, 930мл",94.99,,
"Молоко Искренне Ваш питьевое пастеризованное 1.5%, 930г",64.9,,
"Молоко Село Зелёное ультрапастеризованное 3.2%, 950мл",114.99,,
"Молоко Пр!ст питьевое ультрапастеризованное 2.5%, 970мл",64.88,,
"Молоко Нашей Дойки пастеризованное 3.4-6%, 930мл",95.99,,
"Молоко Сарафаново детское ультрапастеризованное 3.2%, 970мл",84.99,104.99,19.0
