Lon,Lat,Cafe,Delivery,Catalog,Pickup
36.590546,50.599874,False,False,True,False
36.128741,51.743953,False,True,True,True
36.074339,52.955493,False,True,True,True
36.110325,52.950534,False,False,True,False
36.073844,52.985125,False,True,True,True
36.492019,50.787279,False,False,True,False
36.175121,51.725859,False,True,True,True
39.159638,51.710867,False,True,True,True
39.230578,51.633441,False,True,True,True
39.25508,51.682766,False,True,True,True
39.201527,51.71234,False,True,True,True
39.196379,51.66897,False,True,True,True
39.262801,51.682631,False,False,True,False
38.286161,54.015993,False,True,True,True
39.751538,54.623993,False,False,True,True
39.7918239,54.6021268,False,True,True,True
39.739824,54.630201,False,False,True,True
38.303104,54.011369,True,True,True,True
37.583293,54.155815,False,True,True,True
37.618848,54.191779,False,False,True,False
37.64259,54.201792,False,True,True,True
37.601555,54.191458,False,True,True,True
39.589985,52.603778,False,True,True,True
39.60267,52.61092,False,True,True,True
39.5357,52.588691,False,True,True,True
39.54666,52.608913,False,True,True,True
39.5119378,52.5816848,False,True,True,True
39.4893917,52.5969615,False,True,True,True
39.5109398,52.6020961,False,True,True,True
39.574319,52.611298,False,True,True,True
39.517716,52.602318,False,False,True,True
39.545025,52.591016,False,True,True,True
32.104665,54.757025,False,True,True,True
34.358619,53.265671,False,True,True,True
36.264835,54.518413,False,True,True,True
36.601245,55.12012,False,True,True,True
32.002248,54.768936,False,True,True,True
36.256041,54.517044,False,True,True,True
39.139067,51.646051,False,True,True,True
39.149604,51.706123,False,True,True,True
37.9129924,51.3039211,True,True,True,True
39.188861,51.655981,True,True,True,True
39.147421,51.708076,False,False,True,False
48.382426,55.882474,False,True,True,True
49.20645,55.748326,False,True,True,True
49.230453,55.773438,False,True,True,True
49.18234,55.817284,False,True,True,True
49.1296378,55.7788983,False,True,True,True
49.141565,55.81997,False,True,True,True
49.093415,55.817461,False,True,True,True
48.882266,55.872905,False,True,True,True
49.062145,55.829704,False,True,True,True
49.1487907,55.8259535,True,True,True,True
49.230965,55.751437,False,True,True,True
49.093397,55.821168,True,True,True,True
53.216781,56.834579,False,True,True,True
53.227139,56.872595,False,True,True,True
53.255642,56.878369,False,True,True,True
53.268408,56.876097,False,True,True,True
53.223662,56.87349,False,False,True,False
53.231756,56.919936,False,False,True,False
53.161472,56.788051,False,False,True,False
53.204412,56.876904,False,True,True,True
47.200557,56.148885,False,True,True,True
47.862885,56.651176,False,True,True,True
47.858394,56.644203,False,True,True,True
49.65639,58.604139,False,True,True,True
50.043932,58.556581,False,False,True,False
47.896761,56.627916,False,True,True,True
47.247773,56.143559,False,True,True,True
47.309631,56.102338,False,True,True,True
47.265874,56.101976,False,True,True,True
47.198078,56.15073,False,True,True,True
47.267931,56.111695,False,True,True,True
51.82106,55.651628,False,True,True,True
52.409403,55.751786,False,True,True,True
52.274017,54.899379,False,True,True,True
51.791263,55.620265,False,True,True,True
52.380953,55.724895,False,True,True,True
52.4249052,55.7465371,False,True,True,True
52.294939,55.672966,False,True,True,True
43.831857,55.400834,False,True,True,True
44.077241,56.294591,False,True,True,True
45.215945,54.177247,False,True,True,True
45.180399,54.182174,False,True,True,True
43.325998,54.939853,False,False,True,False
43.945269,56.2282,False,True,True,True
43.987292,56.308975,True,True,True,True
43.863684,56.228005,False,True,True,True
43.85643148522728,56.32994788043234,False,True,True,True
43.847344,56.242434,False,True,True,True
43.424318,56.229621,False,True,True,True
43.400854,56.227545,False,False,True,False
43.856974,56.259358,False,True,True,True
43.399857,56.64248,False,True,True,True
43.41547,56.226904,True,True,True,True
43.92821,56.28733,False,True,True,True
43.947623,56.320338,False,False,False,False
43.959031,56.324691,True,True,True,False
44.052717,56.359953,False,True,True,True
43.907558,56.329168,False,True,True,True
43.935684,56.339203,False,False,True,False
43.936403,56.334218,False,False,True,False
43.906552,56.342261,False,False,True,False
43.927069,56.344012,False,True,True,True
39.871158,57.627754,False,True,True,True
40.403032,56.12833,False,True,True,True
40.3891,56.14078,False,True,True,True
40.479883,56.16811,False,True,True,True
40.357765,56.11819,False,True,True,True
39.869334,57.595365,False,True,True,True
40.457964,56.161038,False,False,True,False
39.862893,57.57055,False,True,True,True
39.856992,57.624525,False,False,True,False
39.900596,57.59032,False,False,True,False
55.185197,51.773873,False,True,True,True
55.103738,51.770467,False,True,True,True
55.1728,51.818277,False,True,True,True
55.095248,51.804668,False,True,True,True
44.997807,53.202707,False,True,True,True
45.012082,53.200269,False,True,True,True
50.209689,53.253131,False,True,True,True
50.191175,53.236502,False,True,True,True
50.231752,53.260177,False,False,True,False
50.1428,53.202243,True,True,True,True
49.958565,53.101773,False,False,True,False
50.243969,53.249936,False,False,True,True
50.041542,53.142627,False,True,True,True
50.239279,53.25222,False,True,True,True
50.21065,53.264981,False,True,True,True
50.148972,53.217187,True,False,True,True
49.271902,53.517908,False,True,True,True
49.319719,53.533645,False,True,True,True
46.06303,51.531175,False,True,True,True
46.014206,51.541568,False,True,True,True
46.118384,51.50258,False,True,True,True
47.829432,52.022697,False,False,True,False
45.920171,51.494299,False,True,True,True
48.401362,54.327199,True,True,True,True
48.582588,54.374496,False,True,True,True
48.399817,53.121788,False,True,True,True
48.303293,54.278014,False,True,True,True
50.173316,53.210252,False,False,True,False
50.14439,53.199789,True,True,True,True
50.179245,53.190672,False,True,True,True
50.167594,53.217014,False,False,True,True
50.185803,53.242435,False,False,True,False
50.131158,53.203193,False,False,True,False
50.117782,53.204773,False,True,True,True
50.134096,53.215478,True,False,True,False
55.944174,54.724833,False,True,True,True
55.99978,54.707686,False,True,True,True
56.046708,53.438537,False,False,True,False
56.03132,54.782822,False,True,True,True
56.077475,54.774452,False,True,True,True
55.958907,54.734165,False,True,True,True
55.834625,54.710989,False,True,True,True
30.497085,59.917556,False,True,True,True
30.465186,59.919581,True,False,True,False
30.434634,59.937851,False,True,True,True
30.3679006,59.8100544,False,True,True,True
30.377412,59.830757,True,True,True,True
30.384454,59.703716,False,True,True,True
30.612429,59.735042,False,True,True,True
30.611324,59.740534,True,True,True,True
30.572095,59.737369,True,True,True,True
30.469794,59.732421,False,True,True,False
30.463515,59.737931,True,True,True,True
30.339215,59.832317,False,True,True,True
30.3862999,59.9712807,False,True,True,True
30.374393,59.978899,True,True,True,True
30.420351,59.971204,False,False,True,False
30.488237,59.950244,False,False,True,False
30.435425,59.97201,False,True,True,True
30.409275,59.955475,False,True,True,True
30.560803,59.946211,False,True,True,True
30.274851,60.006921,False,True,True,True
30.244757,60.006952,False,True,True,True
30.2451927,60.0219218,True,True,True,True
30.284014,60.023637,False,True,True,True
30.20578,59.990899,True,True,True,True
30.198207,59.988878,False,False,True,False
30.262535,60.008932,False,True,True,True
30.228875,60.017877,False,True,True,True
31.280102,58.565204,False,True,True,True
34.314674,61.763704,False,True,True,True
34.364422,61.791354,True,True,True,True
28.289952,57.823449,False,True,True,True
34.370405,61.776364,False,True,True,True
30.218742,59.958827,False,True,True,True
30.313164,59.958169,False,True,True,False
30.22018,59.953606,False,True,True,True
30.319569,59.959147,True,True,True,True
30.215706,59.945864,False,False,True,False
30.275174,59.941862,False,True,True,True
30.32071,59.974342,False,True,True,True
30.295494,59.962899,False,True,True,True
30.230627,59.938252,True,False,True,False
30.151252,59.993266,False,True,True,True
30.283205,59.999485,True,True,True,True
29.703451,60.205983,False,True,True,True
30.198979,59.999372,False,False,True,False
30.331193,60.052703,True,False,True,False
30.339943,60.072211,False,True,True,True
30.389575,60.042447,True,True,True,True
30.333394,60.048804,True,False,True,False
30.323863,60.055771,False,True,True,True
30.211933,60.008333,False,True,True,True
30.355978,60.047425,True,False,True,False
30.303453,60.065539,False,True,True,True
30.406481,60.037463,True,True,True,True
30.467827,60.055807,False,True,True,True
30.321204,60.036537,False,True,True,True
30.352995,60.122071,False,True,True,True
30.367755,60.033701,False,True,True,True
30.298252,60.029251,False,True,True,True
30.27221,59.900719,False,True,True,True
29.079391,59.910347,True,True,True,True
30.371222,59.922878,False,True,True,True
30.339072,59.918886,True,True,True,True
30.328328,59.933113,False,True,True,True
29.860099,59.878509,False,True,True,True
30.320845,59.926499,True,True,True,False
29.085877,59.901138,False,False,True,False
30.356867,59.892446,False,False,True,False
30.458233,59.861313,False,True,True,True
30.500381,59.830845,True,True,True,True
30.49483,59.839353,False,True,True,True
30.340707,59.853288,False,True,True,True
30.404074,59.863328,True,True,True,True
30.244362,59.846549,False,True,True,True
30.248342,59.858787,True,False,True,False
30.278112,59.851349,False,True,True,True
29.77369,59.900326,True,True,True,True
30.158304,59.869183,False,True,True,True
30.414054,59.833027,True,True,True,True
30.114124,59.840343,True,True,True,True
60.5884103,56.9022433,False,True,True,True
60.744699,56.890157,False,False,True,False
60.564434,56.848611,False,True,True,True
60.499226,56.884374,False,False,True,False
60.522968,56.869004,False,True,True,True
60.574531,56.852411,False,False,True,False
60.093475,57.910225,False,True,True,True
59.996699,57.904683,False,True,True,True
59.940321,57.922703,False,True,True,True
60.810788,56.907151,False,True,True,True
60.588545,56.828493,False,True,True,True
60.569429,56.833171,False,True,True,True
60.570893,56.821686,False,True,True,True
